x,y
0.000000000,0.000000000
0.100000000,0.029633328
0.200000000,0.059240628
0.300000000,0.088795895
0.400000000,0.118273171
0.500000000,0.147646564
0.600000000,0.176890275
0.700000000,0.205978619
0.800000000,0.234886046
0.900000000,0.263587166
1.000000000,0.292056771
1.100000000,0.320269854
1.200000000,0.348201635
1.300000000,0.375827582
1.400000000,0.403123429
1.500000000,0.430065202
1.600000000,0.456629237
1.700000000,0.482792203
1.800000000,0.508531119
1.900000000,0.533823378
2.000000000,0.558646766
2.100000000,0.582979479
2.200000000,0.606800146
2.300000000,0.630087844
2.400000000,0.652822118
2.500000000,0.674983002
2.600000000,0.696551029
2.700000000,0.717507257
2.800000000,0.737833279
2.900000000,0.757511242
3.000000000,0.776523863
3.100000000,0.794854441
3.200000000,0.812486878
3.300000000,0.829405685
3.400000000,0.845596004
3.500000000,0.861043612
3.600000000,0.875734942
3.700000000,0.889657091
3.800000000,0.902797830
3.900000000,0.915145617
4.000000000,0.926689607
4.100000000,0.937419661
4.200000000,0.947326354
4.300000000,0.956400984
4.400000000,0.964635582
4.500000000,0.972022914
4.600000000,0.978556492
4.700000000,0.984230578
4.800000000,0.989040187
4.900000000,0.992981096
5.000000000,0.996049843
5.100000000,0.998243732
5.200000000,0.999560837
5.300000000,1.000000000
5.400000000,0.999560837
5.500000000,0.998243732
5.600000000,0.996049843
5.700000000,0.992981096
5.800000000,0.989040187
5.900000000,0.984230578
6.000000000,0.978556492
6.100000000,0.972022914
6.200000000,0.964635582
6.300000000,0.956400984
6.400000000,0.947326354
6.500000000,0.937419661
6.600000000,0.926689607
6.700000000,0.915145617
6.800000000,0.902797830
6.900000000,0.889657091
7.000000000,0.875734942
7.100000000,0.861043612
7.200000000,0.845596004
7.300000000,0.829405685
7.400000000,0.812486878
7.500000000,0.794854441
7.600000000,0.776523863
7.700000000,0.757511242
7.800000000,0.737833279
7.900000000,0.717507257
8.000000000,0.696551029
8.100000000,0.674983002
8.200000000,0.652822118
8.300000000,0.630087844
8.400000000,0.606800146
8.500000000,0.582979479
8.600000000,0.558646766
8.700000000,0.533823378
8.800000000,0.508531119
8.900000000,0.482792203
9.000000000,0.456629237
9.100000000,0.430065202
9.200000000,0.403123429
9.300000000,0.375827582
9.400000000,0.348201635
9.500000000,0.320269854
9.600000000,0.292056771
9.700000000,0.263587166
9.800000000,0.234886046
9.900000000,0.205978619
10.000000000,0.176890275
10.100000000,0.147646564
10.200000000,0.118273171
10.300000000,0.088795895
10.400000000,0.059240628
10.500000000,0.029633328
10.600000000,0.000000000
10.700000000,-0.029633328
10.800000000,-0.059240628
10.900000000,-0.088795895
11.000000000,-0.118273171
11.100000000,-0.147646564
11.200000000,-0.176890275
11.300000000,-0.205978619
11.400000000,-0.234886046
11.500000000,-0.263587166
11.600000000,-0.292056771
11.700000000,-0.320269854
11.800000000,-0.348201635
11.900000000,-0.375827582
12.000000000,-0.403123429
12.100000000,-0.430065202
12.200000000,-0.456629237
12.300000000,-0.482792203
12.400000000,-0.508531119
12.500000000,-0.533823378
12.600000000,-0.558646766
12.700000000,-0.582979479
12.800000000,-0.606800146
12.900000000,-0.630087844
13.000000000,-0.652822118
13.100000000,-0.674983002
13.200000000,-0.696551029
13.300000000,-0.717507257
13.400000000,-0.737833279
13.500000000,-0.757511242
13.600000000,-0.776523863
13.700000000,-0.794854441
13.800000000,-0.812486878
13.900000000,-0.829405685
14.000000000,-0.845596004
14.100000000,-0.861043612
14.200000000,-0.875734942
14.300000000,-0.889657091
14.400000000,-0.902797830
14.500000000,-0.915145617
14.600000000,-0.926689607
14.700000000,-0.937419661
14.800000000,-0.947326354
14.900000000,-0.956400984
15.000000000,-0.964635582
15.100000000,-0.972022914
15.200000000,-0.978556492
15.300000000,-0.984230578
15.400000000,-0.989040187
15.500000000,-0.992981096
15.600000000,-0.996049843
15.700000000,-0.998243732
15.800000000,-0.999560837
15.900000000,-1.000000000
16.000000000,-0.999560837
16.100000000,-0.998243732
16.200000000,-0.996049843
16.300000000,-0.992981096
16.400000000,-0.989040187
16.500000000,-0.984230578
16.600000000,-0.978556492
16.700000000,-0.972022914
16.800000000,-0.964635582
16.900000000,-0.956400984
17.000000000,-0.947326354
17.100000000,-0.937419661
17.200000000,-0.926689607
17.300000000,-0.915145617
17.400000000,-0.902797830
17.500000000,-0.889657091
17.600000000,-0.875734942
17.700000000,-0.861043612
17.800000000,-0.845596004
17.900000000,-0.829405685
18.000000000,-0.812486878
18.100000000,-0.794854441
18.200000000,-0.776523863
18.300000000,-0.757511242
18.400000000,-0.737833279
18.500000000,-0.717507257
18.600000000,-0.696551029
18.700000000,-0.674983002
18.800000000,-0.652822118
18.900000000,-0.630087844
19.000000000,-0.606800146
19.100000000,-0.582979479
19.200000000,-0.558646766
19.300000000,-0.533823378
19.400000000,-0.508531119
