x,y
0.000000000,0.000000000
0.100000000,0.099883885
0.200000000,0.198768751
0.300000000,0.295665571
0.400000000,0.389605204
0.500000000,0.479648084
0.600000000,0.564893621
0.700000000,0.644489204
0.800000000,0.717638736
0.900000000,0.783610589
1.000000000,0.841744926
1.100000000,0.891460299
1.200000000,0.932259465
1.300000000,0.963734359
1.400000000,0.985570175
1.500000000,0.997548516
1.600000000,0.999549577
1.700000000,0.991553344
1.800000000,0.973639793
1.900000000,0.945988092
2.000000000,0.908874808
2.100000000,0.862671140
2.200000000,0.807839209
2.300000000,0.744927432
2.400000000,0.674565040
2.500000000,0.597455784
2.600000000,0.514370895
2.700000000,0.426141372
2.800000000,0.333649668
2.900000000,0.237820867
3.000000000,0.139613430
3.100000000,0.040009607
3.200000000,-0.059994385
3.300000000,-0.159398324
3.400000000,-0.257207993
3.500000000,-0.352445120
3.600000000,-0.444157161
3.700000000,-0.531426831
3.800000000,-0.613381277
3.900000000,-0.689200806
4.000000000,-0.758127087
4.100000000,-0.819470733
4.200000000,-0.872618197
4.300000000,-0.917037909
4.400000000,-0.952285592
4.500000000,-0.978008705
4.600000000,-0.993949971
4.700000000,-0.999949950
4.800000000,-0.995948629
4.900000000,-0.981986030
5.000000000,-0.958201804
5.100000000,-0.924833835
5.200000000,-0.882215864
5.300000000,-0.830774147
5.400000000,-0.771023194
5.500000000,-0.703560621
5.600000000,-0.629061176
5.700000000,-0.548269987
5.800000000,-0.461995112
5.900000000,-0.371099455
6.000000000,-0.276492135
6.100000000,-0.179119396
6.200000000,-0.079955141
6.300000000,0.020008809
6.400000000,0.119772635
6.500000000,0.218338519
6.600000000,0.314720626
6.700000000,0.407954959
6.800000000,0.497109009
6.900000000,0.581291075
7.000000000,0.659659183
7.100000000,0.731429513
7.200000000,0.795884232
7.300000000,0.852378676
7.400000000,0.900347800
7.500000000,0.939311825
7.600000000,0.968881042
7.700000000,0.988759705
7.800000000,0.998748993
7.900000000,0.998748993
8.000000000,0.988759705
8.100000000,0.968881042
8.200000000,0.939311825
8.300000000,0.900347800
8.400000000,0.852378676
8.500000000,0.795884232
8.600000000,0.731429513
8.700000000,0.659659183
8.800000000,0.581291075
8.900000000,0.497109009
9.000000000,0.407954959
9.100000000,0.314720626
9.200000000,0.218338519
9.300000000,0.119772635
9.400000000,0.020008809
9.500000000,-0.079955141
9.600000000,-0.179119396
9.700000000,-0.276492135
9.800000000,-0.371099455
9.900000000,-0.461995112
10.000000000,-0.548269987
10.100000000,-0.629061176
10.200000000,-0.703560621
10.300000000,-0.771023194
10.400000000,-0.830774147
10.500000000,-0.882215864
10.600000000,-0.924833835
10.700000000,-0.958201804
10.800000000,-0.981986030
10.900000000,-0.995948629
11.000000000,-0.999949950
11.100000000,-0.993949971
11.200000000,-0.978008705
11.300000000,-0.952285592
11.400000000,-0.917037909
11.500000000,-0.872618197
11.600000000,-0.819470733
11.700000000,-0.758127087
11.800000000,-0.689200806
11.900000000,-0.613381277
12.000000000,-0.531426831
12.100000000,-0.444157161
12.200000000,-0.352445120
12.300000000,-0.257207993
12.400000000,-0.159398324
12.500000000,-0.059994385
12.600000000,0.040009607
12.700000000,0.139613430
12.800000000,0.237820867
12.900000000,0.333649668
13.000000000,0.426141372
13.100000000,0.514370895
13.200000000,0.597455784
13.300000000,0.674565040
13.400000000,0.744927432
13.500000000,0.807839209
13.600000000,0.862671140
13.700000000,0.908874808
13.800000000,0.945988092
13.900000000,0.973639793
14.000000000,0.991553344
14.100000000,0.999549577
14.200000000,0.997548516
14.300000000,0.985570175
14.400000000,0.963734359
14.500000000,0.932259465
14.600000000,0.891460299
14.700000000,0.841744926
14.800000000,0.783610589
14.900000000,0.717638736
15.000000000,0.644489204
15.100000000,0.564893621
15.200000000,0.479648084
15.300000000,0.389605204
15.400000000,0.295665571
15.500000000,0.198768751
15.600000000,0.099883885
15.700000000,0.000000000
15.800000000,-0.099883885
15.900000000,-0.198768751
16.000000000,-0.295665571
16.100000000,-0.389605204
16.200000000,-0.479648084
16.300000000,-0.564893621
16.400000000,-0.644489204
16.500000000,-0.717638736
